H_X,H_Y,H_YgX,H_Z,H_ZgX,H_ZgY,I_YX,I_ZX,I_ZY
7.782644764003441,7.84271559315236,7.8427155931523655,8.399356047773113,8.399356047773107,8.3993560477731,-5.329070518200751e-15,5.329070518200751e-15,1.2434497875801753e-14
7.823833319076974,7.792613416363613,7.792613416363618,8.470969131992875,8.470969131992883,8.47096913199289,-4.440892098500626e-15,-7.105427357601002e-15,-1.4210854715202004e-14
7.907616687038789,7.849647733588716,7.849647733588717,8.421757118864212,8.421757118864209,8.421757118864216,-8.881784197001252e-16,3.552713678800501e-15,-3.552713678800501e-15
7.705054059349948,7.805962250431986,7.8059622504319925,8.38395319173293,8.383953191732896,8.383953191732887,-6.217248937900877e-15,3.375077994860476e-14,4.263256414560601e-14
7.8666084675702175,7.793228559643534,7.793228559643522,8.444797384895939,8.444797384895917,8.444797384895935,1.2434497875801753e-14,2.1316282072803006e-14,3.552713678800501e-15
7.985712619855456,7.665204274731963,7.665204274731965,8.379791467159015,8.379791467159036,8.379791467159029,-2.6645352591003757e-15,-2.1316282072803006e-14,-1.4210854715202004e-14
7.777769427422768,7.885242029461935,7.88524202946193,8.41524516162244,8.415245161622456,8.415245161622448,5.329070518200751e-15,-1.5987211554602254e-14,-7.105427357601002e-15
7.976125790452569,7.909598939906326,7.90959893990633,8.530497524806249,8.530497524806243,8.530497524806252,-3.552713678800501e-15,5.329070518200751e-15,-3.552713678800501e-15
7.860771922507763,7.869661996965227,7.869661996965251,8.465507581808696,8.465507581808694,8.465507581808684,-2.398081733190338e-14,1.7763568394002505e-15,1.2434497875801753e-14
7.896046744239964,7.791588734914063,7.791588734914047,8.33838813883575,8.33838813883574,8.338388138835745,1.5987211554602254e-14,1.0658141036401503e-14,5.329070518200751e-15
7.873163145880379,7.965888262639615,7.965888262639607,8.507660090933813,8.50766009093381,8.507660090933799,7.993605777301127e-15,3.552713678800501e-15,1.4210854715202004e-14
7.744630946644009,7.866124118163489,7.8661241181634916,8.49192420468415,8.491924204684167,8.491924204684162,-2.6645352591003757e-15,-1.7763568394002505e-14,-1.2434497875801753e-14
7.952691376987052,7.857722766393586,7.857722766393586,8.446060722848852,8.446060722848866,8.446060722848864,0.0,-1.4210854715202004e-14,-1.2434497875801753e-14
7.926064833578311,7.730731914626652,7.73073191462665,8.42852607228805,8.428526072288047,8.428526072288047,1.7763568394002505e-15,3.552713678800501e-15,3.552713678800501e-15
7.9168190269040615,7.792346893336883,7.792346893336891,8.451536659671794,8.451536659671806,8.451536659671806,-7.993605777301127e-15,-1.2434497875801753e-14,-1.2434497875801753e-14
7.870705325184697,7.822144663890728,7.8221446638907315,8.463351073000537,8.46335107300053,8.46335107300053,-3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15
7.947851376981699,7.859727801786984,7.859727801786987,8.511390879641755,8.511390879641759,8.51139087964175,-3.552713678800501e-15,-3.552713678800501e-15,5.329070518200751e-15
7.832174033648751,7.949698874256468,7.949698874256464,8.546289629224717,8.546289629224715,8.546289629224722,3.552713678800501e-15,1.7763568394002505e-15,-5.329070518200751e-15
7.953063967395011,7.877288870919945,7.877288870919938,8.50286579931022,8.502865799310193,8.5028657993102,7.105427357601002e-15,2.6645352591003757e-14,1.9539925233402755e-14
7.743821540999436,7.958946170146634,7.958946170146632,8.495594123384814,8.495594123384816,8.495594123384794,1.7763568394002505e-15,-1.7763568394002505e-15,1.9539925233402755e-14
7.799748292679925,7.734748011857363,7.734748011857362,8.482535733908414,8.482535733908415,8.48253573390843,8.881784197001252e-16,-1.7763568394002505e-15,-1.5987211554602254e-14
5.335428780657383,4.827035860158977,4.827035860158977,5.507479192715881,5.5074791927158815,5.5074791927158815,0.0,-8.881784197001252e-16,-8.881784197001252e-16
