Sample,Measure,bias,bw,density,ngrams,ABpvalue,BCpvalue,CApvalue,pReward
310,IXYZ_IYZX_IXZY,10.0,4.0,expset,2t3,6.837221972454594e-10,2.2534362779766817e-12,4.402325516474492e-29,0.9339127881127928
310,IXYZ_IYZX_IXZY,10.0,4.0,expset,2t4,6.83722199965842e-10,2.2534362687973418e-12,4.4023255058578676e-29,0.9339127878587326
310,IXYZ_IYZX_IXZY,10.0,3.0,expset,2t3,9.699364544526131e-10,3.0423597614248415e-12,1.6029669434398348e-28,0.9075617732659158
310,IXYZ_IYZX_IXZY,10.0,3.0,expset,2t4,9.699370156108736e-10,3.042357961379096e-12,1.6029664450448466e-28,0.9075617223373388
310,IXY_IYZ_IXZ,10.0,5.0,expset,2t4,1.2070003119150451e-09,2.8471591928391624e-08,2.729687306981173e-09,0.058008879064166886
310,IXY_IYZ_IXZ,10.0,5.0,expset,2t3,1.2070003119138205e-09,2.8471591928397007e-08,2.729687306978773e-09,0.0580088790641357
210,IXY_IYZ_IXZ,10.0,5.0,expset,2t4,4.539448876845862e-09,3.458947399887444e-08,7.1171389712529556e-09,0.031462862407086116
210,IXY_IYZ_IXZ,10.0,5.0,expset,2t3,4.539448876844362e-09,3.458947399888198e-08,7.117138971250343e-09,0.03146286240706238
310,IXY_IYZ_IXZ,10.0,4.0,expset,2t4,1.5245118111523938e-09,3.640662732072976e-08,3.47177468281656e-09,0.026234951459273608
310,IXY_IYZ_IXZ,10.0,4.0,expset,2t3,1.5245118108774996e-09,3.640662732162081e-08,3.471774682357703e-09,0.02623495145693595
260,IXY_IYZ_IXZ,10.0,5.0,expset,2t4,3.285570101451487e-09,3.647424627393037e-08,2.716230578025646e-09,0.026058151887530898
260,IXY_IYZ_IXZ,10.0,5.0,expset,2t3,3.285570105338233e-09,3.647424628452582e-08,2.716230577797993e-09,0.02605815185992114
310,IXY_IYZ_IXZ,10.0,5.0,expset,1t4,7.906241855108518e-12,4.3607546016745666e-08,5.1113118565276815e-12,0.012768748694060528
310,IXY_IYZ_IXZ,10.0,5.0,expset,1t3,7.906241855108518e-12,4.3607546016745666e-08,5.1113118565276815e-12,0.012768748694060528
310,HXY_HYZ_HXZ,10.0,5.0,expset,2t3,2.497965430832007e-10,8.006193406574039e-13,4.591617755847538e-34,0.97532975558496
310,HXY_HYZ_HXZ,10.0,5.0,expset,2t4,2.497965430908025e-10,8.006193406344834e-13,4.591617755737591e-34,0.9753297555842184
310,HXY_HYZ_HXZ,10.0,4.0,expset,2t3,3.2116355759741663e-10,1.008053152029424e-12,8.297708882798905e-34,0.9683938973159129
310,HXY_HYZ_HXZ,10.0,4.0,expset,2t4,3.2116355901668976e-10,1.0080531478520736e-12,8.297708856680883e-34,0.9683938971784712
310,HXY_HYZ_HXZ,10.0,3.0,expset,2t3,4.5061574551288384e-10,1.3191863703264831e-12,3.2214612542438555e-33,0.9559386185293826
310,HXY_HYZ_HXZ,10.0,3.0,expset,2t4,4.5061603635708214e-10,1.319185576478713e-12,3.221459950732839e-33,0.9559385907264628
310,HXY_HYZ_HXZ,10.0,2.0,expset,2t3,7.722063888296009e-10,1.7744624389281523e-12,9.767599392458336e-32,0.9256855888386554
310,HXY_HYZ_HXZ,10.0,2.0,expset,2t4,7.722782717387176e-10,1.7743103952152137e-12,9.767199038132695e-32,0.9256789347652656
260,HXY_HYZ_HXZ,10.0,5.0,expset,2t3,1.008873322935979e-09,5.770832143572692e-14,4.463843607416605e-32,0.9040348826849044
260,HXY_HYZ_HXZ,10.0,5.0,expset,2t4,1.0088733229507637e-09,5.770832133725411e-14,4.463843641319765e-32,0.9040348826835676
