Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,pvalues
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,gausset,2t3,1.0,"[1.3504614740734456e-178, 1.5099594780105042e-53, 1.6841927229044468e-168]"
52,HX_HY_HZ,8,rdn,10.0,0.7,1.0,gausset,1t4,0.8460277993481904,"[1.2642128703306776e-11, 0.00016720306016614953, 1.0293524104408145e-05]"
52,HX_HY_HZ,8,oie,1.1,1.0,3.7,expset,2t3,1.0,"[2.2287883892935035e-37, 7.112388770600797e-173, 4.0029563900246123e-178]"
52,HX_HY_HZ,8,oie,0.0,0.5,5.0,gausset,1t4,1.0,"[8.534157658344087e-176, 2.286326215026049e-63, 8.738420606723717e-151]"
52,HX_HY_HZ,8,oie,4.4,1.0,5.0,gausset,2t4,1.0,"[1.0915493646477177e-178, 2.420354219946036e-58, 3.367516859232986e-170]"
52,HX_HY_HZ,8,oie,6.7,0.1,3.7,expset,2t4,1.0,"[6.538081212569744e-37, 1.7475562957343938e-166, 3.487201929398092e-176]"
52,HX_HY_HZ,8,oie,8.9,0.6,1.0,gausset,1t3,1.0,"[1.5063740812250689e-178, 6.798658681045005e-61, 9.308540120555372e-169]"
52,HX_HY_HZ,8,rdn,5.6,0.1,2.3,expset,1t3,1.3029773483780947e-208,"[3.061229910136393e-181, 0.47867304742897704, 3.061229910136393e-181]"
52,HX_HY_HZ,8,rdn,5.6,0.8,5.0,expset,3t4,1.3355724825694168e-19,"[1.1528072292115537e-178, 0.04345975674105951, 5.9122504176635206e-179]"
52,HX_HY_HZ,8,oie,10.0,0.9,5.0,expset,1t2,1.0,"[3.487140373570436e-117, 1.532256640507797e-99, 2.3443605245367794e-172]"
52,HX_HY_HZ,8,rdn,5.6,1.0,3.7,expset,1t2,2.285277930926283e-215,"[3.061229910136393e-181, 0.49422930734397985, 3.061229910136393e-181]"
52,HX_HY_HZ,8,rdn,4.4,0.9,3.7,expset,1t2,3.9203159623410897e-196,"[3.061229910136393e-181, 0.44994050597364077, 3.061229910136393e-181]"
52,HX_HY_HZ,8,oie,2.2,0.2,5.0,gausset,2t4,1.0,"[3.555887861956976e-167, 6.525544425420122e-45, 1.0071754398953722e-117]"
52,HX_HY_HZ,8,rdn,8.9,0.5,5.0,expset,3t4,2.2015516866401057e-05,"[1.8666815742459547e-177, 0.01072376304111251, 1.1409652644419056e-177]"
52,HX_HY_HZ,8,rdn,4.4,0.1,2.3,expset,1t4,8.312112995647501e-168,"[3.061229910136393e-181, 0.3847165817750161, 3.061229910136393e-181]"
52,HX_HY_HZ,8,oie,8.9,0.5,3.7,gausset,1t3,1.0,"[8.946343823622216e-178, 1.6098557710064835e-67, 5.0716658738727e-160]"
52,HX_HY_HZ,8,oie,6.7,0.7,3.7,gausset,2t4,1.0,"[4.100266065223068e-174, 1.461282293992011e-44, 3.998926205168087e-160]"
52,HX_HY_HZ,8,oie,5.6,0.8,2.3,expset,2t4,1.0,"[1.0170995668015366e-37, 1.3062817952393593e-173, 2.066285651740605e-178]"
52,HX_HY_HZ,8,oie,2.2,0.8,3.7,gausset,3t4,0.9999999997519601,"[2.256716347274137e-178, 2.480399516880843e-13, 1.06642538302864e-177]"
52,HX_HY_HZ,8,oie,6.7,0.4,3.7,expset,1t3,1.0,"[4.241906843845148e-116, 4.797890970356674e-100, 2.3539723404911315e-172]"
52,HX_HY_HZ,8,oie,3.3,0.4,3.7,gausset,1t4,1.0,"[1.915691977736755e-178, 1.9498775051142487e-62, 1.3205264493179964e-156]"
52,HX_HY_HZ,8,rdn,3.3,0.6,5.0,gausset,1t4,0.999738227730466,"[1.3374014973701428e-20, 2.6180653787510634e-07, 2.5616317101451093e-08]"
52,HX_HY_HZ,8,oie,10.0,0.6,5.0,gausset,1t3,1.0,"[1.7442875659670088e-178, 5.4119270324893894e-61, 7.974151058858525e-169]"
52,HX_HY_HZ,8,rdn,3.3,0.7,3.7,expset,1t2,1.0928971476724963e-200,"[3.061229910136393e-181, 0.46042818649498257, 3.061229910136393e-181]"
52,HX_HY_HZ,8,oie,7.8,1.0,2.3,expset,1t3,1.0,"[3.7904982300568646e-125, 1.2548238175183307e-108, 1.1767774845533673e-174]"
52,HX_HY_HZ,8,oie,0.0,0.4,5.0,expset,1t2,1.0,"[1.2430017983698296e-87, 1.6776474250413552e-100, 2.946662028472343e-168]"
52,HX_HY_HZ,8,oie,3.3,0.7,3.7,expset,1t2,1.0,"[7.345911023430725e-116, 2.9662426008664924e-98, 3.443754918323e-172]"
52,HX_HY_HZ,8,rdn,1.1,0.8,3.7,expset,1t4,3.054632722930356e-206,"[2.7195308717092914e-174, 0.4732158697930038, 2.6761568893791462e-174]"
52,HX_HY_HZ,8,rdn,8.9,0.1,1.0,gausset,1t4,7.630478736544773e-138,"[0.31572459224587324, 0.001111352106330475, 1.6033977565622523e-05]"
