,H(Y),H(Y|X),I(Y;X),H(Z),H(Z|Y),I(Z;Y),H(X),H(X|Z),I(X;Z)
74,5.748552763529662,2.545336373165157,3.203216390364505,6.627841711034956,1.601301320817411,5.026540390217545,5.181803554461847,0.7874511839317744,4.394352370530072
75,5.45271293123684,2.0373138649924276,3.415399066244412,6.684135999854558,1.9091535242882995,4.774982475566258,5.456007014024014,0.6912929074845887,4.764714106539425
76,5.255062745668944,1.9993175135107157,3.2557452321582283,6.670397652631627,2.333813630601133,4.336584022030495,5.622694726900401,0.5577923058613541,5.064902421039047
77,5.414815674425236,2.4455279386847555,2.96928773574048,6.6774333978826785,1.971519095374179,4.7059143025085,4.939586315988259,0.6345686001565566,4.305017715831703
78,5.126631643331221,2.0175711348210497,3.1090605085101712,6.605345605266862,2.1811477137534494,4.424197891513413,5.220060908985406,0.650532981207723,4.569527927777683
79,5.93454587262473,3.2318102888143394,2.7027355838103904,6.387359126074238,1.411516180112774,4.975842945961464,4.444449834477279,0.991629737862398,3.452820096614881
80,4.690011284779984,2.1626846690898684,2.5273266156901153,6.632051778898084,2.757167271677141,3.8748845072209432,5.698272858535861,0.9423417428150812,4.75593111572078
81,5.056463747709326,2.2281496926574595,2.828314055051867,6.3881206874023935,1.9726392107352437,4.41548147666715,5.211976439325537,1.4427683906351785,3.7692080486903583
82,5.384056439211156,2.334189891902755,3.0498665473084006,6.688567246982355,1.8991679247462985,4.789399322236057,5.373821824092933,0.8884969031519684,4.485324920940965
83,5.409911173322085,2.289373170892475,3.1205380024296097,6.784118697271022,1.9103890909796017,4.87372960629142,5.049370642776679,0.6219402394019824,4.4274304033746965
84,5.35919612477136,2.033439290675304,3.3257568340960564,6.772206352781274,1.9927402362794835,4.779466116501791,5.472040038311102,0.5913143966528738,4.880725641658228
85,4.973994079267654,1.1546025198137588,3.819391559453895,6.77423888030292,2.517868357860473,4.256370522442447,6.3367487465578565,0.3078615760788939,6.028887170478963
86,4.982220939960053,1.4125754711650311,3.569645468795022,6.800687204380388,2.755863881670426,4.044823322709962,6.284765135643581,0.3043475187055949,5.980417616937986
87,4.489367029526269,1.0257187401483683,3.463648289377901,6.713637130415703,2.9053126646245,3.808324465791203,6.246401360021182,0.3026910413094612,5.943710318711721
88,5.702592719950038,1.9882676765476466,3.7143250434023916,6.625433610687589,1.6959449888858005,4.929488621801788,5.443539911858092,0.4291297351639826,5.014410176694109
89,5.406736914057231,1.8797079058300565,3.5270290082271747,6.634762868389032,1.8961709716254371,4.7385918967635945,5.464951169190772,0.7107162674898014,4.75423490170097
90,4.981701987738837,1.8401204909409978,3.141581496797839,6.75694302624266,2.3724802292103346,4.3844627970323256,5.588737615569672,0.3378521367400194,5.250885478829653
91,5.579743967097147,1.9654691024014894,3.6142748646956573,6.699962075729855,1.6170190654131045,5.08294301031675,5.471137256185879,0.5609663088622854,4.910170947323594
92,5.194527960344974,2.0872279355707293,3.107300024774245,6.809371459705295,2.577284542651177,4.232086917054118,5.5692130600679235,0.5569216217309378,5.012291438336986
93,4.940143732395014,1.6075627812610276,3.3325809511339863,6.7171748603566925,2.655381818046107,4.061793042310585,6.02733437593932,0.4217543652682661,5.605580010671054
94,5.069179440757157,1.5036870568004503,3.5654923839567068,6.779933992618911,2.12875031838192,4.651183674236991,5.786926213806497,0.3690269429576953,5.417899270848802
95,5.541545111984609,2.2606217937226187,3.2809233182619906,6.765166112782523,1.7295445805839682,5.0356215321985545,5.3181914168613655,0.6262945393911751,4.691896877470191
96,5.346154862525468,2.550824799227206,2.795330063298262,6.474555125430836,2.0540846188267445,4.420470506604092,4.945023739661679,0.7392007519368138,4.205822987724866
97,5.3624917026869,1.7491702863267578,3.6133214163601424,6.717678594725592,1.7710882460791337,4.946590348646458,5.696289955165699,0.5755764863291338,5.1207134688365645
98,5.391210293317967,1.886079194944352,3.5051310983736155,6.598868796156609,1.8180822686794489,4.78078652747716,5.507133466895779,0.5408237501361282,4.9663097167596515
99,5.46202922163181,1.6239361705659958,3.8380930510658144,6.6972407124170905,1.8334007243527728,4.863839988064318,5.903780448040154,0.5179192590341468,5.385861189006007
100,5.5313130404851885,2.18025338092841,3.3510596595567783,6.50913106109482,1.7998968009565242,4.709234260138295,5.304157690686212,0.6931934577581352,4.610964232928077
101,5.497411569757393,2.8941329341858606,2.6032786355715323,6.563101819465304,1.884105314130234,4.67899650533507,5.08608163838585,0.9291305210265854,4.156951117359265
102,5.29157896258346,2.137748794375437,3.153830168208023,6.587543862140264,1.8639488288464465,4.723595033293818,5.524341130979228,0.8955135141353555,4.628827616843872
103,4.764946795822839,1.1829443058278553,3.5820024899949834,6.72108652765839,2.534538283987155,4.186548243671235,6.129745351914373,0.48157764980800943,5.648167702106363
104,5.547821307903078,1.8331763278520141,3.714644980051064,6.6886778837021374,1.7461627548772791,4.9425151288248586,5.581057176390704,0.5811066019956248,4.999950574395079
105,6.075121241757629,1.6900220778350257,4.385099163922604,6.634975157407757,1.160950233318857,5.4740249240889,5.7792339692175965,0.753551314206082,5.025682655011514
106,5.616850217334858,1.8707959377094923,3.7460542796253655,6.790353705438964,1.6645106825801441,5.125843022858819,5.742524684695564,0.5210493725529667,5.221475312142597
107,5.537739298525754,2.268947879007417,3.2687914195183367,6.700891631050532,1.8005248510562313,4.900366779994301,5.203526717903394,0.5809557033542877,4.622571014549106
108,4.2790100568441325,1.1640879355676432,3.1149221212764893,6.0760309466134865,2.4549329104922104,3.621098036121276,5.878335433133306,0.9534014188915646,4.9249340142417415
109,5.020292112888116,0.4847263063424906,4.535565806545626,6.607984923933005,2.0042915090515643,4.603693414881441,6.415104928960752,0.2989921302283108,6.116112798732441
110,5.216124871327845,1.1658437959914685,4.050281075336377,6.527150892161246,2.078382613295141,4.448768278866105,6.11602757535249,0.395705923120692,5.720321652231798
111,4.730492049451594,1.9853548653769724,2.7451371840746215,6.252823171065488,2.3402438342784944,3.912579336786994,5.831175010194234,1.6501493821688862,4.181025628025347
112,5.345693725015972,2.0307343661091313,3.314959358906841,6.609190739451282,1.8672423308611203,4.7419484085901615,5.642732775218485,0.8065057482960479,4.836227026922437
113,5.866972071988242,3.2176471561245537,2.649324915863688,6.543517949931345,1.4168532690111701,5.126664680920174,4.487895921325329,1.0552079726020163,3.432687948723313
114,4.982370442447631,1.8758216735783744,3.1065487688692563,6.6509108685128115,2.4541486422483834,4.196762226264428,5.616664304372075,0.46558759589721,5.151076708474865
115,4.713861603748566,1.810466042162044,2.9033955615865223,6.60352192079099,2.925087363255421,3.678434557535569,5.881204568308568,0.5575694938710711,5.3236350744374965
116,5.786767461362185,1.9151908689672357,3.8715765923949492,6.760333441189863,1.442777215992516,5.317556225197347,5.619894378059576,0.48755470158271297,5.132339676476863
