Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BApvalue,BCpvalue,CBpvalue,ACpvalue,CApvalue
52,HX_HY_HZ,8,oie,7.8,0.9,3.7,expset,1t3,2.119392944834776e-07,3.66460793344536e-07,3.66460793344536e-07,3.5602153359805935e-07,3.5602153359805935e-07,4.127507283237353e-09,4.127507283237353e-09
52,HX_HY_HZ,8,oie,0.0,1.0,2.3,gausset,2t4,0.0001645334188643998,0.02085231314304116,0.02085231314304116,0.20273778904186684,0.20273778904186684,0.00138817923117843,0.00138817923117843
52,HX_HY_HZ,8,rdn,5.6,0.4,1.0,expset,2t3,1.9434296605909536e-47,7.055444030253818e-05,7.055444030253818e-05,9.837831408403963e-11,9.837831408403963e-11,5.41794935161499e-11,5.41794935161499e-11
52,HX_HY_HZ,8,rdn,0.0,0.4,3.7,expset,2t4,1.7685725491265243e-13,0.015756202194907698,0.015756202194907698,1.0769618157220862e-06,1.0769618157220862e-06,6.487263505295306e-07,6.487263505295306e-07
52,HX_HY_HZ,8,oie,0.0,0.6,2.3,expset,2t3,8.90497222895712e-14,0.00027904298176990785,0.00027904298176990785,0.025663231065733802,0.025663231065733802,1.5656537180356604e-05,1.5656537180356604e-05
52,HX_HY_HZ,8,rdn,10.0,0.5,3.7,expset,1t4,0.0013184661605357736,1.7827776274844134e-07,1.7827776274844134e-07,9.66020166590078e-09,9.66020166590078e-09,9.528789464322118e-09,9.528789464322118e-09
52,HX_HY_HZ,8,oie,0.0,0.5,3.7,expset,2t4,3.5892030681988463e-20,0.00018107176245729656,0.00018107176245729656,0.011700142873946497,0.011700142873946497,1.0679765284065323e-05,1.0679765284065323e-05
52,HX_HY_HZ,8,rdn,3.3,0.2,1.0,gausset,2t3,0.0054040297561022705,5608.100355976733,5608.100355976733,5517.098854193231,5517.098854193231,5499.193226517691,5499.193226517691
52,HX_HY_HZ,8,rdn,6.7,0.3,3.7,expset,2t3,1.2578647333577306e-30,3.861015823956579e-06,3.861015823956579e-06,3.324362981975856e-11,3.324362981975856e-11,2.1105331988631765e-11,2.1105331988631765e-11
52,HX_HY_HZ,8,rdn,4.4,0.6,2.3,expset,2t4,2.645947565866293e-31,8.546560484187572e-05,8.546560484187572e-05,4.799009007474832e-10,4.799009007474832e-10,3.3356995727458867e-10,3.3356995727458867e-10
52,HX_HY_HZ,8,oie,3.3,0.9,3.7,expset,3t4,0.0,3.740069036730786e-05,3.740069036730786e-05,0.00022309514767451035,0.00022309514767451035,1.1119826666418684e-06,1.1119826666418684e-06
52,HX_HY_HZ,8,rdn,10.0,0.5,1.0,gausset,1t4,6.902987096525953e-07,7.117827412281135e+41,7.117827412281135e+41,6.217931614004402e+41,6.217931614004402e+41,6.026953451760863e+41,6.026953451760863e+41
52,HX_HY_HZ,8,rdn,3.3,0.5,5.0,gausset,2t3,8.942058389634738e-07,2.7879019856612446e+22,2.7879019856612446e+22,2.4464133243366367e+22,2.4464133243366367e+22,2.3742835315638343e+22,2.3742835315638343e+22
52,HX_HY_HZ,8,rdn,0.0,0.7,2.3,expset,2t4,5.3185789825299524e-08,0.03371506325997372,0.03371506325997372,4.493897639365171e-06,4.493897639365171e-06,3.4205394904936402e-06,3.4205394904936402e-06
52,HX_HY_HZ,8,oie,1.1,0.1,3.7,gausset,1t4,0.20554380341097764,2.0828251794346113,2.0828251794346113,3.961534065666298,3.961534065666298,0.4928768040978192,0.4928768040978192
52,HX_HY_HZ,8,rdn,7.8,1.0,2.3,gausset,1t4,3.079666416790119e-11,2.9964992668346476e+59,2.9964992668346476e+59,2.9267748913740374e+59,2.9267748913740374e+59,2.499965493436604e+59,2.499965493436604e+59
52,HX_HY_HZ,8,oie,4.4,0.7,2.3,gausset,2t4,0.07983237166778151,2.9503710742161606e+17,2.9503710742161606e+17,6.151476856136794e+17,6.151476856136794e+17,1.7834942085381624e+16,1.7834942085381624e+16
52,HX_HY_HZ,8,rdn,8.9,0.7,2.3,expset,2t4,1.1728456077185613e-35,5.657469711669064e-07,5.657469711669064e-07,1.707570873438994e-12,1.707570873438994e-12,1.2495536504201209e-12,1.2495536504201209e-12
52,HX_HY_HZ,8,rdn,4.4,0.6,5.0,gausset,1t2,5.209644914743224e-09,1.0063467958103863e+41,1.0063467958103863e+41,1.0035246226760616e+41,1.0035246226760616e+41,8.022164616398632e+40,8.022164616398632e+40
52,HX_HY_HZ,8,rdn,10.0,0.6,1.0,gausset,1t3,4.947700848573682e-09,7.590842592214037e+41,7.590842592214037e+41,7.57076527846378e+41,7.57076527846378e+41,6.048462544238192e+41,6.048462544238192e+41
52,HX_HY_HZ,8,rdn,3.3,0.7,2.3,gausset,2t4,3.74308847550881e-11,13583450078.419039,13583450078.419039,13313129826.671837,13313129826.671837,12289173829.014154,12289173829.014154
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,gausset,2t3,0.10897312663824606,1.8711035092994668e+122,1.8711035092994668e+122,4.5137510903110945e+122,4.5137510903110945e+122,6.440617716766433e+120,6.440617716766433e+120
52,HX_HY_HZ,8,rdn,10.0,0.7,1.0,gausset,1t4,5.154915372221517e-11,8.573120352492812e+41,8.573120352492812e+41,8.434183227470271e+41,8.434183227470271e+41,7.783649562865386e+41,7.783649562865386e+41
52,HX_HY_HZ,8,oie,1.1,1.0,3.7,expset,2t3,8.654859762850647e-32,4.244952867338394e-05,4.244952867338394e-05,0.002319803036449337,0.002319803036449337,2.2629265731102736e-06,2.2629265731102736e-06
52,HX_HY_HZ,8,oie,0.0,0.5,5.0,gausset,1t4,0.001176465230950924,0.0372710253325352,0.0372710253325352,0.12487213848539316,0.12487213848539316,0.001351858538436273,0.001351858538436273
