Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,ACpvalue
52,HX_HY_HZ,8,oie,8.9,0.5,3.7,gausset,1t3,0.6083858444187578,4.717744210961038e-05,0.6083858444187578,0.9999528225578904
52,HX_HY_HZ,8,oie,6.7,0.7,3.7,gausset,2t4,0.7522064261973016,4.043093429795121e-05,0.7522064261973016,0.999959569065702
52,HX_HY_HZ,8,oie,5.6,0.8,2.3,expset,2t4,0.933476938525845,0.002303889065311758,0.933476938525845,0.9976961109346882
52,HX_HY_HZ,8,oie,2.2,0.8,3.7,gausset,3t4,0.9992937061927235,3.770683320847104e-08,0.9992937061927235,0.9999999622931668
52,HX_HY_HZ,8,oie,6.7,0.4,3.7,expset,1t3,0.503525632639292,0.024274702109151614,0.503525632639292,0.9757252978908484
52,HX_HY_HZ,8,oie,3.3,0.4,3.7,gausset,1t4,0.6400798730341904,3.082871946535672e-07,0.6400798730341904,0.9999996917128053
52,HX_HY_HZ,8,rdn,3.3,0.6,5.0,gausset,1t4,0.49810553882080233,0.34955941215404107,0.49810553882080233,0.6504405878459593
52,HX_HY_HZ,8,oie,10.0,0.6,5.0,gausset,1t3,,,,
52,HX_HY_HZ,8,rdn,3.3,0.7,3.7,expset,1t2,0.0,0.0,0.0,1.0
52,HX_HY_HZ,8,oie,7.8,1.0,2.3,expset,1t3,0.4953762809298336,0.017762996697914247,0.4953762809298336,0.9822370033020857
52,HX_HY_HZ,8,oie,0.0,0.4,5.0,expset,1t2,0.7051195319518132,0.010676724044236198,0.7051195319518132,0.9893232759557639
52,HX_HY_HZ,8,oie,3.3,0.7,3.7,expset,1t2,0.5115404318448176,0.020335681788889268,0.5115404318448176,0.9796643182111108
52,HX_HY_HZ,8,rdn,1.1,0.8,3.7,expset,1t4,1.9747764132860165e-154,3.2075292624031007e-165,1.9747764132860165e-154,1.0
52,HX_HY_HZ,8,rdn,8.9,0.1,1.0,gausset,1t4,0.4662656038335039,0.4469629656368371,0.4662656038335039,0.5530370343631628
52,HX_HY_HZ,8,oie,2.2,0.5,2.3,expset,1t2,0.5552500159981371,0.01355543815124347,0.5552500159981371,0.9864445618487565
52,HX_HY_HZ,8,rdn,8.9,0.4,3.7,gausset,2t4,0.39455600609440733,0.3090761072243621,0.39455600609440733,0.6909238927756379
52,HX_HY_HZ,8,rdn,5.6,0.9,1.0,gausset,1t4,0.4954681125578401,0.42776758716266355,0.4954681125578401,0.572232412837337
52,HX_HY_HZ,8,rdn,0.0,0.7,3.7,expset,1t4,0.9999999999626027,1.7672561667400675e-12,0.9999999999626027,0.9999999999982327
52,HX_HY_HZ,8,oie,8.9,0.4,5.0,gausset,1t3,,,,
52,HX_HY_HZ,8,rdn,0.0,0.2,2.3,expset,2t4,5.8358330949898575e-05,3.218747216970288e-05,5.8358330949898575e-05,0.9999678125278303
52,HX_HY_HZ,8,oie,6.7,0.5,3.7,expset,2t4,0.924337123425539,0.003631677829101573,0.924337123425539,0.9963683221708984
52,HX_HY_HZ,8,oie,6.7,1.0,5.0,gausset,2t4,0.7845887199653505,3.790130427546995e-08,0.7845887199653505,0.9999999620986957
52,HX_HY_HZ,8,oie,0.0,0.5,5.0,expset,1t2,0.7201503174737243,0.008225993283067461,0.7201503174737243,0.9917740067169325
52,HX_HY_HZ,8,rdn,6.7,0.6,2.3,gausset,2t4,0.49954849531249934,0.3492419155123127,0.49954849531249934,0.6507580844876869
52,HX_HY_HZ,8,rdn,2.2,0.5,3.7,expset,1t4,0.0,0.0,0.0,1.0
52,HX_HY_HZ,8,oie,4.4,0.3,1.0,gausset,3t4,0.9955907456471033,3.483936939893664e-06,0.9955907456471033,0.9999965160630601
52,HX_HY_HZ,8,oie,3.3,1.0,2.3,expset,2t3,0.931679851892046,0.0030183954311429257,0.931679851892046,0.9969816045688571
52,HX_HY_HZ,8,rdn,2.2,0.4,1.0,expset,3t4,0.01992401154369467,0.012049928580008265,0.01992401154369467,0.9879500714199919
52,HX_HY_HZ,8,rdn,0.0,0.4,5.0,expset,1t2,2.360885929356169e-10,7.523678763879293e-17,2.360885929356169e-10,0.9999999999999999
52,HX_HY_HZ,8,rdn,8.9,0.5,1.0,expset,1t4,3.624085067765506e-27,7.764862327922154e-28,3.624085067765506e-27,1.0
52,HX_HY_HZ,8,oie,4.4,1.0,3.7,expset,2t3,0.9262201430536807,0.0032692347524122213,0.9262201430536807,0.9967307652475877
52,HX_HY_HZ,8,rdn,4.4,0.6,1.0,expset,1t3,2.469745281926785e-44,3.726843090429477e-45,2.469745281926785e-44,1.0
52,HX_HY_HZ,8,oie,5.6,0.4,3.7,gausset,2t4,0.714521389930866,1.377043871984334e-07,0.714521389930866,0.9999998622956128
52,HX_HY_HZ,8,oie,5.6,0.2,1.0,gausset,2t3,0.6332061324976201,0.004240955694782647,0.6332061324976201,0.9957590443052173
52,HX_HY_HZ,8,rdn,2.2,0.9,1.0,gausset,2t3,0.4949710423422177,0.43338068352022396,0.4949710423422177,0.566619316479776
52,HX_HY_HZ,8,rdn,8.9,0.4,2.3,gausset,2t3,0.38832940810806094,0.31085077604004,0.38832940810806094,0.6891492239599597
