Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,ACpvalue
52,HX_HY_HZ,8,oie,0.0,0.6,2.3,expset,2t3,3.720108144693636e-44,0.9999999135272131,0.8612187744814788,8.647278694623112e-08
52,HX_HY_HZ,8,rdn,10.0,0.5,3.7,expset,1t4,3.720075976020836e-44,1.0,1.0,0.0
52,HX_HY_HZ,8,oie,0.0,0.5,3.7,expset,2t4,3.72017900151813e-44,0.9999997230592295,0.8603808651476794,2.7694077051328214e-07
52,HX_HY_HZ,8,rdn,3.3,0.2,1.0,gausset,2t3,4.516193920640127e-27,0.6066212792467656,0.5976496219346855,0.3933787207532345
52,HX_HY_HZ,8,rdn,6.7,0.3,3.7,expset,2t3,3.720076164661663e-44,0.9999999994929114,0.9999999989611523,5.07088561468257e-10
52,HX_HY_HZ,8,rdn,4.4,0.6,2.3,expset,2t4,3.720076035763246e-44,0.9999999998394054,0.9999999997098717,1.605946425638828e-10
52,HX_HY_HZ,8,oie,3.3,0.9,3.7,expset,3t4,3.7200759764202347e-44,0.9999999999989264,0.993358889207076,1.0735707915653696e-12
52,HX_HY_HZ,8,rdn,10.0,0.5,1.0,gausset,1t4,6.003265257326194e-32,0.7189041944505536,0.6995140146155298,0.28109580554944635
52,HX_HY_HZ,8,rdn,3.3,0.5,5.0,gausset,2t3,8.468087053500025e-32,0.7154641834229918,0.6964378380088381,0.28453581657700816
52,HX_HY_HZ,8,rdn,0.0,0.7,2.3,expset,2t4,3.720075976020836e-44,1.0,1.0,4.738474295123133e-18
52,HX_HY_HZ,8,oie,1.1,0.1,3.7,gausset,1t4,3.890293987029137e-44,0.9995525936189155,0.888257328624322,0.0004474063810845379
52,HX_HY_HZ,8,rdn,7.8,1.0,2.3,gausset,1t4,2.7805821754309388e-33,0.7496264774740271,0.6449136283221292,0.25037352252597284
52,HX_HY_HZ,8,oie,4.4,0.7,2.3,gausset,2t4,3.720075976023003e-44,0.9999999999999942,0.9993055485836988,5.7443085679898924e-15
52,HX_HY_HZ,8,rdn,8.9,0.7,2.3,expset,2t4,3.720076189752246e-44,0.9999999994254649,0.9999999990937571,5.74535049353896e-10
52,HX_HY_HZ,8,rdn,4.4,0.6,5.0,gausset,1t2,1.2229162301914869e-34,0.7808665480278473,0.6521696125859983,0.21913345197215273
52,HX_HY_HZ,8,rdn,10.0,0.6,1.0,gausset,1t3,1.1914072462213975e-34,0.7811275799349734,0.6522552720032114,0.2188724200650266
52,HX_HY_HZ,8,rdn,3.3,0.7,2.3,gausset,2t4,1.2213018464153589e-30,0.6887763541278338,0.6129503441215527,0.31122364587216617
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,gausset,2t3,3.720075976020836e-44,1.0,0.9999491398898316,3.1805085235550526e-21
52,HX_HY_HZ,8,rdn,10.0,0.7,1.0,gausset,1t4,1.4689513117816286e-30,0.6869300403696268,0.6091568313048117,0.3130699596303732
52,HX_HY_HZ,8,oie,1.1,1.0,3.7,expset,2t3,3.720093350490661e-44,0.999999953295499,0.8864255905829592,4.670450108266652e-08
52,HX_HY_HZ,8,oie,0.0,0.5,5.0,gausset,1t4,3.7201611003662073e-44,0.999999771178406,0.9743247911164621,2.288215939748023e-07
52,HX_HY_HZ,8,oie,4.4,1.0,5.0,gausset,2t4,3.720075976020836e-44,1.0,0.9999974808881139,3.0802147050117405e-27
