Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,CApvalue,pReward
52,HX_HY_HZ,8,oie,3.3,1.0,1.0,gausset,1t4,0.07302847337163151,0.0015364456127899466,1584.1654969706144,270.43763488463685,0.0
52,HX_HY_HZ,8,rdn,3.3,0.3,1.0,gausset,2t3,0.00037567406183187447,8815.096142313776,8018.702121132056,6856.360068040602,0.0
52,HX_HY_HZ,8,oie,3.3,0.2,5.0,expset,2t3,1.3854440819831295e-36,4.336256501740975e-07,9.446497497927113e-05,4.664163027523643e-07,0.0
52,HX_HY_HZ,8,oie,0.0,0.8,1.0,gausset,3t4,0.0009296284180115691,1.0842163783248946e-11,0.2534864378669491,0.003082479984852079,0.0
52,HX_HY_HZ,8,oie,7.8,0.5,5.0,gausset,1t4,0.18596392699433623,1.1256431990641017e+125,9.299704947969795e+127,2.227363037707406e+127,0.0
52,HX_HY_HZ,8,rdn,3.3,0.3,2.3,gausset,1t4,0.0009087446904538787,7750774415.1712055,6526436831.822705,6417507351.618411,0.0
52,HX_HY_HZ,8,oie,2.2,0.3,2.3,expset,2t3,3.9366937630060926e-36,1.962115215214252e-06,0.0010136810890866317,5.74250701965897e-06,0.0
52,HX_HY_HZ,8,oie,7.8,0.9,3.7,expset,1t3,2.1193929448347832e-07,4.507109863864209e-07,3.560215335980593e-07,5.573645278366566e-10,2.6660639833876072e-20
52,HX_HY_HZ,8,oie,0.0,1.0,2.3,gausset,2t4,0.0001645334188644007,7.479671276140632e-06,0.20273778904186682,0.0045784280886458795,0.0
52,HX_HY_HZ,8,rdn,5.6,0.4,1.0,expset,2t3,1.9434296605909536e-47,6.384810259400808e-05,9.837831408403963e-11,3.222742497107049e-12,0.0
52,HX_HY_HZ,8,rdn,0.0,0.4,3.7,expset,2t4,1.7685725491265243e-13,0.014360490633041529,1.0769618157220862e-06,1.9338933541213532e-16,0.0
52,HX_HY_HZ,8,oie,0.0,0.6,2.3,expset,2t3,8.90497222895712e-14,9.017266754781135e-06,0.025663231065733802,4.28824539661896e-05,0.0
52,HX_HY_HZ,8,rdn,10.0,0.5,3.7,expset,1t4,0.0013184661605357736,1.695311249337536e-07,9.66020166590078e-09,0.0,4.338671739995687e-08
52,HX_HY_HZ,8,oie,0.0,0.5,3.7,expset,2t4,3.589203068198897e-20,9.741490985620003e-06,0.011700142873946499,1.7885210898240877e-05,0.0
52,HX_HY_HZ,8,rdn,3.3,0.2,1.0,gausset,2t3,0.0054040297561022774,7631.243222485815,5517.09885419323,7135.609655928941,0.0
52,HX_HY_HZ,8,rdn,6.7,0.3,3.7,expset,2t3,1.2578647333577306e-30,3.6016135262511212e-06,3.324362981975856e-11,3.829136631285168e-14,3.8362946849050854e-157
52,HX_HY_HZ,8,rdn,4.4,0.6,2.3,expset,2t4,2.6459475658658446e-31,8.011835073947992e-05,4.799009007474691e-10,2.798879518348168e-13,0.0
