H_X,H_XgY,H_XgZ,H_Y,H_YgX,H_YgZ,H_Z,H_ZgX,H_ZgY,I_XY,I_XZ,I_YX,I_YZ,I_ZX,I_ZY
7.37972134036631,7.379721340366308,7.379721340366306,7.153827253718072,7.153827253718077,7.153827253718079,7.87549413043926,7.875494130439261,7.875494130439258,2.6645352591003757e-15,4.440892098500626e-15,-5.329070518200751e-15,-7.105427357601002e-15,-8.881784197001252e-16,1.7763568394002505e-15
7.10616226888385,7.106162268883844,7.106162268883845,7.062429605596062,7.062429605596069,7.062429605596074,7.861866639273715,7.861866639273714,7.8618666392737175,5.329070518200751e-15,4.440892098500626e-15,-7.105427357601002e-15,-1.1546319456101628e-14,8.881784197001252e-16,-2.6645352591003757e-15
7.285288512254462,7.285288512254461,7.285288512254463,7.223189986746601,7.223189986746603,7.223189986746597,7.852671682899242,7.852671682899261,7.852671682899253,1.7763568394002505e-15,-8.881784197001252e-16,-1.7763568394002505e-15,4.440892098500626e-15,-1.865174681370263e-14,-1.0658141036401503e-14
7.204583503642014,7.20458350364201,7.204583503642003,7.243599746839846,7.243599746839839,7.243599746839836,7.898903822498015,7.898903822498015,7.898903822498007,3.552713678800501e-15,1.0658141036401503e-14,6.217248937900877e-15,9.769962616701378e-15,0.0,7.993605777301127e-15
7.347132831925805,7.347132831925812,7.347132831925809,7.104032132979437,7.104032132979439,7.104032132979435,7.910572903839501,7.910572903839497,7.910572903839498,-7.105427357601002e-15,-4.440892098500626e-15,-1.7763568394002505e-15,2.6645352591003757e-15,4.440892098500626e-15,3.552713678800501e-15
7.340101704282628,7.340101704282614,7.340101704282613,7.2629779883152255,7.262977988315236,7.262977988315225,7.719255620398638,7.719255620398647,7.719255620398635,1.4210854715202004e-14,1.509903313490213e-14,-1.0658141036401503e-14,8.881784197001252e-16,-8.881784197001252e-15,2.6645352591003757e-15
7.3374454733345855,7.337445473334587,7.337445473334587,7.1761174256101175,7.1761174256101175,7.176117425610109,7.864984855048579,7.864984855048582,7.864984855048584,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,8.881784197001252e-15,-2.6645352591003757e-15,-4.440892098500626e-15
7.361822574268026,7.36182257426803,7.361822574268026,7.256025365917682,7.256025365917672,7.256025365917683,7.807560895415966,7.80756089541596,7.807560895415956,-3.552713678800501e-15,0.0,9.769962616701378e-15,-8.881784197001252e-16,6.217248937900877e-15,9.769962616701378e-15
7.326809101631547,7.326809101631538,7.32680910163154,7.16262869354639,7.162628693546387,7.1626286935464005,7.911210929509276,7.911210929509282,7.911210929509279,8.881784197001252e-15,6.217248937900877e-15,2.6645352591003757e-15,-1.0658141036401503e-14,-5.329070518200751e-15,-2.6645352591003757e-15
7.374558633290411,7.374558633290416,7.374558633290424,7.337068793239841,7.33706879323984,7.337068793239846,7.856742560186762,7.85674256018676,7.856742560186767,-5.329070518200751e-15,-1.3322676295501878e-14,8.881784197001252e-16,-4.440892098500626e-15,2.6645352591003757e-15,-4.440892098500626e-15
7.333576511486935,7.33357651148694,7.333576511486944,7.318791677634931,7.318791677634923,7.318791677634922,7.84058005215664,7.840580052156649,7.840580052156648,-4.440892098500626e-15,-8.881784197001252e-15,7.993605777301127e-15,8.881784197001252e-15,-8.881784197001252e-15,-7.993605777301127e-15
7.101992850605139,7.101992850605147,7.10199285060515,7.244537580650878,7.244537580650878,7.244537580650892,7.777555664841129,7.777555664841124,7.7775556648411195,-7.993605777301127e-15,-1.0658141036401503e-14,0.0,-1.4210854715202004e-14,5.329070518200751e-15,9.769962616701378e-15
6.900628818694045,6.900628818694043,6.900628818694042,7.251782220431418,7.25178222043142,7.251782220431416,7.73758909375126,7.73758909375126,7.737589093751266,1.7763568394002505e-15,3.552713678800501e-15,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,-6.217248937900877e-15
