Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,CApvalue,pReward
52,HX_HY_HZ,8,oie,0.0,0.5,3.7,expset,2t4,0.0,9.741490985620003e-06,0.011700142873946499,1.7885210898240877e-05,1.0
52,HX_HY_HZ,8,rdn,3.3,0.2,1.0,gausset,2t3,0.0,7631.243222485815,5517.09885419323,7135.609655928941,1.0
52,HX_HY_HZ,8,rdn,6.7,0.3,3.7,expset,2t3,0.0,3.6016135262511212e-06,3.324362981975856e-11,3.829136631285168e-14,2.008852700322862
52,HX_HY_HZ,8,rdn,4.4,0.6,2.3,expset,2t4,0.0,8.011835073947992e-05,4.799009007474691e-10,2.798879518348168e-13,1.0003315707618743
52,HX_HY_HZ,8,oie,3.3,0.9,3.7,expset,3t4,0.0,3.074599722971552e-08,0.00022309514767451027,1.825410239336777e-05,1.000000000204692
52,HX_HY_HZ,8,rdn,10.0,0.5,1.0,gausset,1t4,0.0,6.135741919275391e+41,6.2179316140044095e+41,5.56553511539603e+41,1.0
52,HX_HY_HZ,8,rdn,3.3,0.5,5.0,gausset,2t3,0.0,2.442596030524696e+22,2.4464133243366367e+22,2.2077144798638813e+22,1.0
52,HX_HY_HZ,8,rdn,0.0,0.7,2.3,expset,2t4,0.0,0.031279736897845994,4.4938976393652e-06,6.97883268328204e-18,1.0
52,HX_HY_HZ,8,oie,1.1,0.1,3.7,gausset,1t4,0.0,0.9052150357015174,3.961534065666298,1.0202972133952095,1.0
52,HX_HY_HZ,8,rdn,7.8,1.0,2.3,gausset,1t4,0.0,2.8901368036903663e+59,2.926774891374033e+59,2.3253584813053227e+59,1.0
52,HX_HY_HZ,8,oie,4.4,0.7,2.3,gausset,2t4,0.0,121169030896335.02,6.151476856136792e+17,1.3721999293947664e+17,1.0
52,HX_HY_HZ,8,rdn,8.9,0.7,2.3,expset,2t4,0.0,5.233096571155207e-07,1.707570873438994e-12,6.078555838721387e-15,2.5831632750752127
52,HX_HY_HZ,8,rdn,4.4,0.6,5.0,gausset,1t2,0.0,9.9911187704833e+40,1.0035246226760608e+41,6.952650208989827e+40,1.0
52,HX_HY_HZ,8,rdn,10.0,0.6,1.0,gausset,1t3,0.0,7.531425886334361e+41,7.570765278463764e+41,5.25570760237906e+41,1.0
52,HX_HY_HZ,8,rdn,3.3,0.7,2.3,gausset,2t4,0.0,11252261758.913927,13313129826.671835,10276515507.00244,1.0
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,gausset,2t3,0.0,8.729991448196435e+116,4.513751090311095e+122,8.062053193743013e+121,1.0
