,"$H[h(X, X)]$","$H[h(Y, Y)]$","$H[h(Z, Z)]$","$H[h(Y+Z, Y+Z)]$","$H[h(X+Z, X+Z)]$","$H[h(X+Y, X+Y)]$","$I[h(Y, X)]$","$I[h(Z, X)]$","$I[h(Y+Z, X)]$","$I[h(Z, Y)]$","$I[h(X+Z, Y)]$","$I[h(X+Y, Z)]$"
22,-1095.3602637219653,-731.1491279595239,-653.4147949260181,81.08766552136572,-48.102238133127344,-117.29901872118242,-873.354572925454,-752.2155973925513,-175.91880343205273,-694.7792276293111,-217.590000593707,-201.22675650537457
23,-1070.6706845962651,-730.6969271975788,-587.5892284634764,76.86111623125514,-5.865771904474823,-91.01310990154892,-871.942447282255,-687.0525251280675,-160.30120084320967,-652.9229471792402,-188.0463372087745,-162.5463466959362
24,-978.0311128444889,-667.8017954790329,-672.465510900612,81.6236264774593,-15.063820675431112,-66.13397886947969,-818.8943298569644,-726.1717572094958,-163.6804346459646,-705.6860881027118,-201.54531029429972,-172.5508113162626
25,-1109.7707071538523,-737.1387524818502,-663.471052785759,67.19330043507496,-29.513722496202423,-119.1181759795996,-877.386637618432,-743.7424962439875,-180.85945610688339,-707.6423994999668,-217.75142366187603,-193.06313204148825
26,-1097.1550394373367,-686.3106389306859,-683.2052268294506,63.94966480813392,-34.84670385360932,-82.33961846141247,-848.3223126421626,-767.2837363991329,-184.73462796723658,-711.3628747586771,-221.6648463870113,-204.0662365978408
27,-1014.065702461303,-706.1195839937088,-631.0861301888771,77.8971400157834,-31.709044364773007,-81.44702363192812,-827.3182963407266,-707.0938561506189,-168.5806503870088,-667.0593946415212,-205.7111801929544,-194.4014646663186
28,-1071.6496166656761,-759.1996460918837,-736.7483348248442,62.41212365152327,-71.31648315521178,-108.56852298605881,-889.5685454050456,-803.3082069585129,-197.4112856171451,-755.3867738165235,-239.511966566477,-233.43836171885513
29,-1020.2642984529948,-804.4127676671195,-668.2902451513121,65.05726740989117,-10.930145601425037,-118.63109891232203,-898.7476817856394,-722.4286203344831,-165.05044057413028,-715.7012971686993,-199.5230942723026,-208.82584770582926
30,-1081.8576454708377,-794.2426656127387,-632.8751876851513,58.120475312932975,-36.16259169626068,-125.22978098035145,-898.6443722329166,-723.8775504475327,-189.57781777826654,-693.2773259008079,-224.14693380063426,-219.65142018156183
31,-1049.2601626881751,-748.837231329944,-717.9384377503161,57.669642835468075,-49.434790083030805,-119.57815426752498,-868.9398421834717,-766.8536440754912,-188.64996169048493,-737.1316208749471,-228.784315310633,-210.91597870926384
32,-1032.7210401153532,-714.6638540435973,-678.0624727055903,51.303994806447534,-21.850283299608616,-76.19069143389726,-833.0740192075198,-733.4642069647226,-178.81807584396196,-731.2220154368897,-216.95206311610107,-205.3046133308064
33,-1056.57801157267,-768.8280050444977,-629.0063985231229,54.33682763004537,-43.753183794113994,-127.9150404745429,-876.7057337598543,-721.1982669310077,-198.54394855239238,-692.5070783702533,-229.87310920531723,-225.7130643984155
34,-1055.7928021154046,-591.1233650058613,-645.2775542579942,75.09551849336188,-21.216307359324308,-58.12451615419043,-761.9271559643656,-712.2413285390634,-157.582244309332,-680.5052970730263,-184.3215673483623,-148.5530683172239
35,-1042.3243634294738,-726.3653145693269,-637.1624626756528,79.09015474996446,-19.513583402398872,-75.66328116313836,-849.3079807654283,-718.079547753014,-168.2377238569694,-684.0588230182738,-195.27692700166435,-195.6584827072002
36,-1034.8819306784162,-724.2530361722372,-567.5145185268583,89.67159627732019,12.806274902054973,-95.03007277186016,-850.3607695212468,-660.4413037596129,-131.85908071839327,-627.3312636650028,-170.2595886135404,-165.98506716228812
